row_index,domain,tld
2,au.888,888
3,au.dao,dao
4,au.go,go
5,au.nft,nft
6,au.wallet,wallet
7,au.zil,zil
8,bd.888,888
9,bd.bitcoin,bitcoin
10,bd.blockchain,blockchain
11,bd.crypto,crypto
12,bd.dao,dao
13,bd.go,go
14,bd.nft,nft
15,bd.polygon,polygon
16,bd.wallet,wallet
17,bd.zil,zil
18,br.888,888
19,br.dao,dao
20,br.go,go
21,br.polygon,polygon
22,br.wallet,wallet
23,ca.888,888
24,ca.bitcoin,bitcoin
25,ca.dao,dao
26,ca.nft,nft
27,ca.wallet,wallet
28,ca.zil,zil
29,ch.888,888
30,ch.bitcoin,bitcoin
31,ch.blockchain,blockchain
32,ch.dao,dao
33,ch.go,go
34,ch.nft,nft
35,ch.polygon,polygon
36,ch.wallet,wallet
37,ch.zil,zil
38,de.888,888
39,de.bitcoin,bitcoin
40,de.go,go
41,de.nft,nft
42,de.polygon,polygon
43,de.wallet,wallet
44,es.888,888
45,es.bitcoin,bitcoin
46,es.crypto,crypto
47,es.dao,dao
48,es.go,go
49,es.nft,nft
50,es.polygon,polygon
51,es.wallet,wallet
52,es.zil,zil
53,mx.888,888
54,mx.crypto,crypto
55,mx.dao,dao
56,mx.go,go
57,mx.polygon,polygon
58,mx.wallet,wallet
59,mx.zil,zil
60,ng.bitcoin,bitcoin
61,ng.blockchain,blockchain
62,ng.crypto,crypto
63,ng.dao,dao
64,ng.go,go
65,ng.nft,nft
66,ng.polygon,polygon
67,ng.wallet,wallet
68,ng.zil,zil
69,nl.888,888
70,nl.bitcoin,bitcoin
71,nl.dao,dao
72,nl.go,go
73,nl.polygon,polygon
74,nl.zil,zil
75,nz.888,888
76,nz.bitcoin,bitcoin
77,nz.crypto,crypto
78,nz.dao,dao
79,nz.polygon,polygon
80,nz.wallet,wallet
81,nz.zil,zil
82,pk.888,888
83,pk.bitcoin,bitcoin
84,pk.blockchain,blockchain
85,pk.crypto,crypto
86,pk.dao,dao
87,pk.go,go
88,pk.nft,nft
89,pk.polygon,polygon
90,pk.wallet,wallet
91,pk.zil,zil
92,ru.888,888
93,ru.bitcoin,bitcoin
94,ru.crypto,crypto
95,ru.dao,dao
96,ru.go,go
97,ru.nft,nft
98,ru.polygon,polygon
99,ru.wallet,wallet
100,ru.zil,zil
101,es.x,x
102,ly.x,x
103,ly.bitcoin,bitcoin
104,ly.zil,zil
105,ly.blockchain,blockchain
106,ly.nft,nft
107,ly.wallet,wallet
108,ly.888,888
109,ly.polygon,polygon
110,ly.crypto,crypto
111,ly.dao,dao
112,amp.crypto,crypto
113,amp.zil,zil
114,asb.crypto,crypto
115,asb.zil,zil
116,axa.crypto,crypto
117,axa.zil,zil
118,bnz.crypto,crypto
119,bnz.zil,zil
120,com.crypto,crypto
121,com.zil,zil
122,dmm.crypto,crypto
123,dmm.zil,zil
124,drf.crypto,crypto
125,drf.zil,zil
126,gog.crypto,crypto
127,gog.zil,zil
128,gov.888,888
129,gov.bitcoin,bitcoin
130,gov.blockchain,blockchain
131,gov.crypto,crypto
132,gov.nft,nft
133,gov.polygon,polygon
134,gov.wallet,wallet
135,gov.x,x
136,kkr.crypto,crypto
137,kkr.zil,zil
138,paf.crypto,crypto
139,paf.zil,zil
140,pmu.crypto,crypto
141,pmu.zil,zil
142,pwc.crypto,crypto
143,pwc.zil,zil
144,tab.crypto,crypto
145,tab.zil,zil
146,tsb.zil,zil
147,tvg.crypto,crypto
148,tvg.zil,zil
149,xyz.crypto,crypto
150,xyz.nft,nft
151,xyz.wallet,wallet
152,mio.bitcoin,bitcoin
153,mio.x,x
154,her.888,888
155,her.dao,dao
156,her.bitcoin,bitcoin
157,her.wallet,wallet
158,get.polygon,polygon
159,her.polygon,polygon
160,her.blockchain,blockchain
161,the.nft,nft
162,the.polygon,polygon
163,the.888,888
164,her.crypto,crypto
165,her.nft,nft
166,her.zil,zil
