Metric,CompanyValue,SPXBaseline(Proxy:SPY),Poor Range,Average Range,Good Range,Class
Revenue Growth,0.625,,N/A,N/A,N/A,N/A
EPS Growth,0.667,,N/A,N/A,N/A,N/A
EBITDA Margin,0.60220003,,N/A,N/A,N/A,N/A
Net Margin,0.53007,,N/A,N/A,N/A,N/A
ROIC,1.07359,,N/A,N/A,N/A,N/A
FCF Margin,0.2847189531371296,,N/A,N/A,N/A,N/A
Net Debt / EBITDA,-0.44177255765788004,,N/A,N/A,N/A,N/A
Interest Coverage,,,N/A,N/A,N/A,N/A
Forward P/E,23.631657,27.451393,> 35.69,19.22 to 35.69,< 19.22,Average
FCF Yield,0.011971324568687127,,N/A,N/A,N/A,N/A
