domain,tld,label,quick_usd,realistic_usd,stretch_usd,category,confidence,listing_score
au.wallet,wallet,au,351.0,540.0,972.0,short,0.6100000000000001,571.2
de.bitcoin,bitcoin,de,351.0,540.0,972.0,short,0.6100000000000001,571.2
ch.wallet,wallet,ch,351.0,540.0,972.0,short,0.6100000000000001,571.2
es.wallet,wallet,es,351.0,540.0,972.0,short,0.6100000000000001,571.2
mx.crypto,crypto,mx,351.0,540.0,972.0,short,0.6100000000000001,571.2
es.bitcoin,bitcoin,es,351.0,540.0,972.0,short,0.6100000000000001,571.2
nl.bitcoin,bitcoin,nl,351.0,540.0,972.0,short,0.6100000000000001,571.2
ng.crypto,crypto,ng,351.0,540.0,972.0,short,0.6100000000000001,571.2
ng.wallet,wallet,ng,351.0,540.0,972.0,short,0.6100000000000001,571.2
mx.wallet,wallet,mx,351.0,540.0,972.0,short,0.6100000000000001,571.2
ng.bitcoin,bitcoin,ng,351.0,540.0,972.0,short,0.6100000000000001,571.2
nz.wallet,wallet,nz,351.0,540.0,972.0,short,0.6100000000000001,571.2
de.wallet,wallet,de,351.0,540.0,972.0,short,0.6100000000000001,571.2
es.crypto,crypto,es,351.0,540.0,972.0,short,0.6100000000000001,571.2
pk.crypto,crypto,pk,351.0,540.0,972.0,short,0.6100000000000001,571.2
nz.crypto,crypto,nz,351.0,540.0,972.0,short,0.6100000000000001,571.2
nz.bitcoin,bitcoin,nz,351.0,540.0,972.0,short,0.6100000000000001,571.2
br.wallet,wallet,br,351.0,540.0,972.0,short,0.6100000000000001,571.2
ch.bitcoin,bitcoin,ch,351.0,540.0,972.0,short,0.6100000000000001,571.2
ca.wallet,wallet,ca,351.0,540.0,972.0,short,0.6100000000000001,571.2
ca.bitcoin,bitcoin,ca,351.0,540.0,972.0,short,0.6100000000000001,571.2
bd.crypto,crypto,bd,351.0,540.0,972.0,short,0.6100000000000001,571.2
ly.crypto,crypto,ly,351.0,540.0,972.0,short,0.6100000000000001,571.2
ly.wallet,wallet,ly,351.0,540.0,972.0,short,0.6100000000000001,571.2
ly.bitcoin,bitcoin,ly,351.0,540.0,972.0,short,0.6100000000000001,571.2
pk.wallet,wallet,pk,351.0,540.0,972.0,short,0.6100000000000001,571.2
